age,gender,region,plan_tier,payment_type,device_os,app_version_lag_weeks,support_ticket,satisfaction_survey,notification_opt_in,email_opened_last,app_crashes_30d,weeks_since_signup,home_charging_access,charging_sessions_12w,avg_kwh_per_session,peak_share,charger_fault_rate,avg_wait_minutes,refund_request_last12w,price_change_exposed,payment_failure_last4w,weeks_since_last_charge,user_ID,retained_binary
39,Prefer Not to Answer / Other / Unknown,Canterbury,Basic,GooglePay,Android,1,NotLast3Months,2,FALSE,FALSE,0,2 weeks,FALSE,5,27.7 kWh,31%,0.70%,19 mins,FALSE,TRUE,FALSE,2 weeks,KC1000001,1
31,Female,Wellington,Basic,ApplePay,Android,5,NotLast3Months,4,TRUE,FALSE,4,12 weeks,TRUE,3,24.3 kWh,52%,3.40%,23 mins,FALSE,FALSE,FALSE,8 weeks,KC1000002,1
58,Female,Auckland,Plus,ApplePay,Android,1,NotLast3Months,NoResponse,FALSE,TRUE,1,7 weeks,FALSE,1,21.1 kWh,37%,0%,13 mins,FALSE,FALSE,FALSE,5 weeks,KC1000003,1
55,Prefer Not to Answer / Other / Unknown,Auckland,Basic,DebitCard,Other,1,NotLast3Months,4,TRUE,TRUE,0,6 weeks,TRUE,3,20.7 kWh,43%,5.20%,28 mins,FALSE,TRUE,FALSE,6 weeks,KC1000004,1
47,Male,Auckland,Pro,DebitCard,Android,4,NotLast3Months,2,TRUE,FALSE,2,1 weeks,TRUE,2,20.9 kWh,39%,1.10%,14 mins,TRUE,FALSE,FALSE,1 weeks,KC1000005,1
53,Male,Auckland,Basic,CreditCard,iOS,1,NotLast3Months,3,FALSE,FALSE,0,8 weeks,TRUE,3,15.4 kWh,37%,0%,15 mins,FALSE,FALSE,FALSE,8 weeks,KC1000006,0
53,Female,Waikato,Basic,CreditCard,Android,4,NotLast3Months,NoResponse,FALSE,TRUE,3,12 weeks,FALSE,5,19.5 kWh,32%,2.80%,21 mins,FALSE,FALSE,FALSE,10 weeks,KC1000007,1
71,Male,Otago,Basic,ApplePay,Android,1,NotLast3Months,4,FALSE,TRUE,2,5 weeks,FALSE,2,23.2 kWh,47%,12.60%,40 mins,TRUE,FALSE,FALSE,5 weeks,KC1000008,0
24,Male,ManawhatuWhanganui,Pro,DebitCard,Other,3,YesThisMonth,2,TRUE,TRUE,0,1 weeks,FALSE,6,27.8 kWh,28%,4.70%,18 mins,TRUE,FALSE,FALSE,1 weeks,KC1000009,1
59,Male,Auckland,Basic,CreditCard,Android,2,NotLast3Months,5,TRUE,TRUE,2,9 weeks,FALSE,3,18.7 kWh,51%,2%,14 mins,FALSE,FALSE,FALSE,5 weeks,KC1000010,1
54,Female,Auckland,Pro,ApplePay,Android,0,NotLast3Months,NoResponse,FALSE,TRUE,1,4 weeks,TRUE,3,26.6 kWh,43%,1.10%,24 mins,FALSE,FALSE,FALSE,4 weeks,KC1000011,1
21,Female,BayOfPlenty,Basic,CreditCard,iOS,0,NotLast3Months,5,FALSE,TRUE,0,2 weeks,FALSE,3,18.6 kWh,34%,3.60%,21 mins,FALSE,TRUE,TRUE,2 weeks,KC1000012,1
36,Male,Auckland,Plus,GooglePay,Android,2,Last3Months,2,FALSE,FALSE,1,11 weeks,FALSE,6,20.5 kWh,61%,0%,27 mins,FALSE,FALSE,FALSE,8 weeks,KC1000013,0
57,Male,ManawhatuWhanganui,Plus,DebitCard,iOS,0,Last3Months,4,FALSE,FALSE,2,7 weeks,TRUE,2,26 kWh,33%,4.60%,9 mins,FALSE,TRUE,FALSE,7 weeks,KC1000014,0
36,Male,Waikato,Pro,DebitCard,iOS,2,NotLast3Months,4,FALSE,TRUE,1,1 weeks,TRUE,1,21.9 kWh,36%,11.10%,30 mins,FALSE,FALSE,FALSE,1 weeks,KC1000015,1
30,Male,Auckland,Plus,GooglePay,Android,3,NotLast3Months,4,FALSE,FALSE,3,0 weeks,FALSE,3,22 kWh,54%,4.20%,34 mins,FALSE,TRUE,FALSE,0 weeks,KC1000016,1
44,Male,Waikato,Basic,DebitCard,Android,4,Last3Months,NoResponse,TRUE,FALSE,0,10 weeks,FALSE,2,26 kWh,42%,0%,13 mins,FALSE,TRUE,TRUE,4 weeks,KC1000017,1
33,Prefer Not to Answer / Other / Unknown,Auckland,Basic,ApplePay,iOS,2,NotLast3Months,3,TRUE,FALSE,1,10 weeks,FALSE,3,24.4 kWh,40%,2.70%,21 mins,FALSE,FALSE,FALSE,10 weeks,KC1000018,0
50,Female,Waikato,Basic,ApplePay,iOS,3,NotLast3Months,NoResponse,FALSE,FALSE,2,7 weeks,FALSE,6,20.8 kWh,39%,2.30%,16 mins,FALSE,FALSE,FALSE,1 weeks,KC1000019,1
